baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time
all_fez,scenario2,qnn,10,-,-,-,-,-,-362.01161202260806,-,362.01161202260806,1258.92
all_fez,scenario3,qnn,10,-,-,-,-,-,1258.92,-,362.01161202260806,1258.92
all_sherbrooke,scenario1,vqe,6,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,vqe,6,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,vqe,6,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_torino,scenario1,qaoa,8,-,-,-,-,-,923.4547322237238,-,543.0094644474474,1303.9
all_torino,scenario2,qaoa,8,-,-,-,-,-,-543.0094644474474,-,543.0094644474474,1303.9
all_torino,scenario3,qaoa,8,-,-,-,-,-,1303.9,-,543.0094644474474,1303.9
all_fez,scenario1,dj,8,-,-,-,-,-,1325.7028500902884,-,573.285700180577,2078.12
all_fez,scenario2,dj,8,-,-,-,-,-,-573.285700180577,-,573.285700180577,2078.12
all_fez,scenario3,dj,8,-,-,-,-,-,2078.12,-,573.285700180577,2078.12
all_kyiv,scenario1,twolocalrandom,10,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999
all_kyiv,scenario2,twolocalrandom,10,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999
all_kyiv,scenario3,twolocalrandom,10,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999
all_kyiv,scenario1,qaoa,10,-,-,-,-,-,960.0547247570753,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario2,qaoa,10,-,-,-,-,-,-355.45944951415066,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario3,qaoa,10,-,-,-,-,-,1564.6499999999999,-,355.45944951415066,1564.6499999999999
fair,scenario1,twolocalrandom,6,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,twolocalrandom,6,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,twolocalrandom,6,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_marrakesh,scenario1,qft,8,-,-,-,-,-,455.8634975119044,-,171.32699502380885,740.4
all_marrakesh,scenario2,qft,8,-,-,-,-,-,-171.32699502380885,-,171.32699502380885,740.4
all_marrakesh,scenario3,qft,8,-,-,-,-,-,740.4,-,171.32699502380885,740.4
all_kyiv,scenario1,dj,10,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999
all_kyiv,scenario2,dj,10,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999
all_kyiv,scenario3,dj,10,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999
all_sherbrooke,scenario1,qaoa,6,-,-,-,-,-,1383.9175837438736,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario2,qaoa,6,-,-,-,-,-,-225.16516748774657,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario3,qaoa,6,-,-,-,-,-,2542.6700000000005,-,225.16516748774657,2542.6700000000005
all_fez,scenario1,qaoa,8,-,-,-,-,-,1581.613935395216,-,675.5078707904318,2487.7200000000003
all_fez,scenario2,qaoa,8,-,-,-,-,-,-675.5078707904318,-,675.5078707904318,2487.7200000000003
all_fez,scenario3,qaoa,8,-,-,-,-,-,2487.7200000000003,-,675.5078707904318,2487.7200000000003
all_marrakesh,scenario1,dj,8,-,-,-,-,-,1057.1213214986021,-,390.8026429972043,1723.44
all_marrakesh,scenario2,dj,8,-,-,-,-,-,-390.8026429972043,-,390.8026429972043,1723.44
all_marrakesh,scenario3,dj,8,-,-,-,-,-,1723.44,-,390.8026429972043,1723.44
fair,scenario1,qnn,6,-,-,-,-,-,307.64752698322064,-,284.52505396644125,330.77000000000004
fair,scenario2,qnn,6,-,-,-,-,-,-284.52505396644125,-,284.52505396644125,330.77000000000004
fair,scenario3,qnn,6,-,-,-,-,-,330.77000000000004,-,284.52505396644125,330.77000000000004
all_torino,scenario1,wstate,8,-,-,-,-,-,2471.4960082367843,-,1386.2920164735679,3556.7000000000003
all_torino,scenario2,wstate,8,-,-,-,-,-,-1386.2920164735679,-,1386.2920164735679,3556.7000000000003
all_torino,scenario3,wstate,8,-,-,-,-,-,3556.7000000000003,-,1386.2920164735679,3556.7000000000003
all_torino,scenario1,dj,8,-,-,-,-,-,779.9702499011266,-,460.84049980225325,1099.1
all_torino,scenario2,dj,8,-,-,-,-,-,-460.84049980225325,-,460.84049980225325,1099.1
all_torino,scenario3,dj,8,-,-,-,-,-,1099.1,-,460.84049980225325,1099.1
all_kyiv,scenario1,dj,6,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999
all_kyiv,scenario2,dj,6,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999
all_kyiv,scenario3,dj,6,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999
all_sherbrooke,scenario1,vqe,10,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,vqe,10,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,vqe,10,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_fez,scenario1,twolocalrandom,10,-,-,-,-,-,550.3293750680461,-,251.3387501360923,849.32
all_fez,scenario2,twolocalrandom,10,-,-,-,-,-,-251.3387501360923,-,251.3387501360923,849.32
all_fez,scenario3,twolocalrandom,10,-,-,-,-,-,849.32,-,251.3387501360923,849.32
all_sherbrooke,scenario1,wstate,6,-,-,-,-,-,2930.711173646922,-,451.55234729384404,5409.87
all_sherbrooke,scenario2,wstate,6,-,-,-,-,-,-451.55234729384404,-,451.55234729384404,5409.87
all_sherbrooke,scenario3,wstate,6,-,-,-,-,-,5409.87,-,451.55234729384404,5409.87
all_kyiv,scenario1,qnn,8,-,-,-,-,-,508.93323276830154,-,190.49646553660313,827.37
all_kyiv,scenario2,qnn,8,-,-,-,-,-,-190.49646553660313,-,190.49646553660313,827.37
all_kyiv,scenario3,qnn,8,-,-,-,-,-,827.37,-,190.49646553660313,827.37
all_sherbrooke,scenario1,qaoa,10,-,-,-,-,-,1383.9175837438736,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario2,qaoa,10,-,-,-,-,-,-225.16516748774657,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario3,qaoa,10,-,-,-,-,-,2542.6700000000005,-,225.16516748774657,2542.6700000000005
fair,scenario1,wstate,8,-,-,-,-,-,1416.204979056603,-,1355.0399581132058,1477.3700000000001
fair,scenario2,wstate,8,-,-,-,-,-,-1355.0399581132058,-,1355.0399581132058,1477.3700000000001
fair,scenario3,wstate,8,-,-,-,-,-,1477.3700000000001,-,1355.0399581132058,1477.3700000000001
all_torino,scenario1,qpeexact,10,-,-,-,-,-,1491.5104963721126,-,859.9209927442253,2123.1
all_torino,scenario2,qpeexact,10,-,-,-,-,-,-859.9209927442253,-,859.9209927442253,2123.1
all_torino,scenario3,qpeexact,10,-,-,-,-,-,2123.1,-,859.9209927442253,2123.1
all_fez,scenario1,qpeexact,6,-,-,-,-,-,1836.676150128332,-,776.0323002566638,2897.32
all_fez,scenario2,qpeexact,6,-,-,-,-,-,-776.0323002566638,-,776.0323002566638,2897.32
all_fez,scenario3,qpeexact,6,-,-,-,-,-,2897.32,-,776.0323002566638,2897.32
fair,scenario1,vqe,8,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,vqe,8,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,vqe,8,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_sherbrooke,scenario1,ghz,6,-,-,-,-,-,1605.4716868532278,-,258.67337370645504,2952.2700000000004
all_sherbrooke,scenario2,ghz,6,-,-,-,-,-,-258.67337370645504,-,258.67337370645504,2952.2700000000004
all_sherbrooke,scenario3,ghz,6,-,-,-,-,-,2952.2700000000004,-,258.67337370645504,2952.2700000000004
all_sherbrooke,scenario1,ghz,8,-,-,-,-,-,2047.897202228683,-,324.3244044573659,3771.4700000000003
all_sherbrooke,scenario2,ghz,8,-,-,-,-,-,-324.3244044573659,-,324.3244044573659,3771.4700000000003
all_sherbrooke,scenario3,ghz,8,-,-,-,-,-,3771.4700000000003,-,324.3244044573659,3771.4700000000003
all_sherbrooke,scenario1,qnn,10,-,-,-,-,-,717.2680593381644,-,120.66611867632884,1313.8700000000001
all_sherbrooke,scenario2,qnn,10,-,-,-,-,-,-120.66611867632884,-,120.66611867632884,1313.8700000000001
all_sherbrooke,scenario3,qnn,10,-,-,-,-,-,1313.8700000000001,-,120.66611867632884,1313.8700000000001
fair,scenario1,dj,10,-,-,-,-,-,472.5403314970734,-,450.5106629941468,494.57
fair,scenario2,dj,10,-,-,-,-,-,-450.5106629941468,-,450.5106629941468,494.57
fair,scenario3,dj,10,-,-,-,-,-,494.57,-,450.5106629941468,494.57
all_sherbrooke,scenario1,twolocalrandom,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,twolocalrandom,8,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,twolocalrandom,8,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario1,qft,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,qft,8,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,qft,8,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
fair,scenario1,qpeexact,8,-,-,-,-,-,872.3187305031586,-,840.5674610063171,904.07
fair,scenario2,qpeexact,8,-,-,-,-,-,-840.5674610063171,-,840.5674610063171,904.07
fair,scenario3,qpeexact,8,-,-,-,-,-,904.07,-,840.5674610063171,904.07
all_kyiv,scenario1,dj,8,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999
all_kyiv,scenario2,dj,8,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999
all_kyiv,scenario3,dj,8,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999
all_kyiv,scenario1,qft,8,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999
all_kyiv,scenario2,qft,8,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999
all_kyiv,scenario3,qft,8,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999
all_sherbrooke,scenario1,qft,6,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,qft,6,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,qft,6,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
fair,scenario1,qnn,8,-,-,-,-,-,307.64752698322064,-,284.52505396644125,330.77000000000004
fair,scenario2,qnn,8,-,-,-,-,-,-284.52505396644125,-,284.52505396644125,330.77000000000004
fair,scenario3,qnn,8,-,-,-,-,-,330.77000000000004,-,284.52505396644125,330.77000000000004
all_marrakesh,scenario1,wstate,8,-,-,-,-,-,3415.630053359127,-,1175.660106718254,5655.6
all_marrakesh,scenario2,wstate,8,-,-,-,-,-,-1175.660106718254,-,1175.660106718254,5655.6
all_marrakesh,scenario3,wstate,8,-,-,-,-,-,5655.6,-,1175.660106718254,5655.6
all_torino,scenario1,vqe,6,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,vqe,6,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,vqe,6,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
fair,scenario1,qft,10,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,qft,10,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,qft,10,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_sherbrooke,scenario1,realamprandom,6,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,realamprandom,6,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,realamprandom,6,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_fez,scenario1,qnn,6,-,-,-,-,-,810.465806011304,-,362.01161202260806,1258.92
all_fez,scenario2,qnn,6,-,-,-,-,-,-362.01161202260806,-,362.01161202260806,1258.92
all_fez,scenario3,qnn,6,-,-,-,-,-,1258.92,-,362.01161202260806,1258.92
all_torino,scenario1,twolocalrandom,6,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,twolocalrandom,6,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,twolocalrandom,6,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
all_torino,scenario1,realamprandom,8,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,realamprandom,8,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,realamprandom,8,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
fair,scenario1,qnn,10,-,-,-,-,-,307.64752698322064,-,284.52505396644125,330.77000000000004
fair,scenario2,qnn,10,-,-,-,-,-,-284.52505396644125,-,284.52505396644125,330.77000000000004
fair,scenario3,qnn,10,-,-,-,-,-,330.77000000000004,-,284.52505396644125,330.77000000000004
all_torino,scenario1,ghz,8,-,-,-,-,-,1350.2149872731716,-,782.1299745463432,1918.3
all_torino,scenario2,ghz,8,-,-,-,-,-,-782.1299745463432,-,782.1299745463432,1918.3
all_torino,scenario3,ghz,8,-,-,-,-,-,1918.3,-,782.1299745463432,1918.3
all_kyiv,scenario1,qft,6,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999
all_kyiv,scenario2,qft,6,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999
all_kyiv,scenario3,qft,6,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999
all_fez,scenario1,qaoa,6,-,-,-,-,-,1581.613935395216,-,675.5078707904318,2487.7200000000003
all_fez,scenario2,qaoa,6,-,-,-,-,-,-675.5078707904318,-,675.5078707904318,2487.7200000000003
all_fez,scenario3,qaoa,6,-,-,-,-,-,2487.7200000000003,-,675.5078707904318,2487.7200000000003
all_sherbrooke,scenario1,vqe,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,vqe,8,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,vqe,8,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_fez,scenario1,twolocalrandom,8,-,-,-,-,-,550.3293750680461,-,251.3387501360923,849.32
all_fez,scenario2,twolocalrandom,8,-,-,-,-,-,-251.3387501360923,-,251.3387501360923,849.32
all_fez,scenario3,twolocalrandom,8,-,-,-,-,-,849.32,-,251.3387501360923,849.32
all_marrakesh,scenario1,twolocalrandom,6,-,-,-,-,-,455.8634975119044,-,171.32699502380885,740.4
all_marrakesh,scenario2,twolocalrandom,6,-,-,-,-,-,-171.32699502380885,-,171.32699502380885,740.4
all_marrakesh,scenario3,twolocalrandom,6,-,-,-,-,-,740.4,-,171.32699502380885,740.4
all_torino,scenario1,qft,8,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,qft,8,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,qft,8,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
all_marrakesh,scenario1,qnn,8,-,-,-,-,-,657.4271643193454,-,246.7743286386907,1068.08
all_marrakesh,scenario2,qnn,8,-,-,-,-,-,-246.7743286386907,-,246.7743286386907,1068.08
all_marrakesh,scenario3,qnn,8,-,-,-,-,-,1068.08,-,246.7743286386907,1068.08
all_fez,scenario1,realamprandom,10,-,-,-,-,-,550.3293750680461,-,251.3387501360923,849.32
all_fez,scenario2,realamprandom,10,-,-,-,-,-,-251.3387501360923,-,251.3387501360923,849.32
all_fez,scenario3,realamprandom,10,-,-,-,-,-,849.32,-,251.3387501360923,849.32
all_marrakesh,scenario1,wstate,10,-,-,-,-,-,4194.11905096897,-,1421.9181019379407,6966.32
all_marrakesh,scenario2,wstate,10,-,-,-,-,-,-1421.9181019379407,-,1421.9181019379407,6966.32
all_marrakesh,scenario3,wstate,10,-,-,-,-,-,6966.32,-,1421.9181019379407,6966.32
all_fez,scenario1,qft,8,-,-,-,-,-,550.3293750680461,-,251.3387501360923,849.32
all_fez,scenario2,qft,8,-,-,-,-,-,-251.3387501360923,-,251.3387501360923,849.32
all_fez,scenario3,qft,8,-,-,-,-,-,849.32,-,251.3387501360923,849.32
all_fez,scenario1,qpeexact,10,-,-,-,-,-,2597.940368987606,-,1069.7607379752117,4126.12
all_fez,scenario2,qpeexact,10,-,-,-,-,-,-1069.7607379752117,-,1069.7607379752117,4126.12
all_fez,scenario3,qpeexact,10,-,-,-,-,-,4126.12,-,1069.7607379752117,4126.12
all_marrakesh,scenario1,qpeexact,10,-,-,-,-,-,2045.547753227377,-,729.2555064547536,3361.84
all_marrakesh,scenario2,qpeexact,10,-,-,-,-,-,-729.2555064547536,-,729.2555064547536,3361.84
all_marrakesh,scenario3,qpeexact,10,-,-,-,-,-,3361.84,-,729.2555064547536,3361.84
all_marrakesh,scenario1,ghz,10,-,-,-,-,-,2242.0454905764072,-,794.570981152814,3689.52
all_marrakesh,scenario2,ghz,10,-,-,-,-,-,-794.570981152814,-,794.570981152814,3689.52
all_marrakesh,scenario3,ghz,10,-,-,-,-,-,3689.52,-,794.570981152814,3689.52
all_sherbrooke,scenario1,qnn,6,-,-,-,-,-,717.2680593381644,-,120.66611867632884,1313.8700000000001
all_sherbrooke,scenario2,qnn,6,-,-,-,-,-,-120.66611867632884,-,120.66611867632884,1313.8700000000001
all_sherbrooke,scenario3,qnn,6,-,-,-,-,-,1313.8700000000001,-,120.66611867632884,1313.8700000000001
all_sherbrooke,scenario1,qft,10,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,qft,10,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,qft,10,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_kyiv,scenario1,qaoa,6,-,-,-,-,-,960.0547247570753,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario2,qaoa,6,-,-,-,-,-,-355.45944951415066,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario3,qaoa,6,-,-,-,-,-,1564.6499999999999,-,355.45944951415066,1564.6499999999999
all_marrakesh,scenario1,ghz,8,-,-,-,-,-,1848.7212245342544,-,663.2824490685088,3034.16
all_marrakesh,scenario2,ghz,8,-,-,-,-,-,-663.2824490685088,-,663.2824490685088,3034.16
all_marrakesh,scenario3,ghz,8,-,-,-,-,-,3034.16,-,663.2824490685088,3034.16
all_kyiv,scenario1,qpeexact,8,-,-,-,-,-,1555.3035207488067,-,562.9170414976132,2547.69
all_kyiv,scenario2,qpeexact,8,-,-,-,-,-,-562.9170414976132,-,562.9170414976132,2547.69
all_kyiv,scenario3,qpeexact,8,-,-,-,-,-,2547.69,-,562.9170414976132,2547.69
all_marrakesh,scenario1,vqe,8,-,-,-,-,-,455.8634975119044,-,171.32699502380885,740.4
all_marrakesh,scenario2,vqe,8,-,-,-,-,-,-171.32699502380885,-,171.32699502380885,740.4
all_marrakesh,scenario3,vqe,8,-,-,-,-,-,740.4,-,171.32699502380885,740.4
fair,scenario1,realamprandom,6,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,realamprandom,6,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,realamprandom,6,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_kyiv,scenario1,twolocalrandom,8,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999
all_kyiv,scenario2,twolocalrandom,8,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999
all_kyiv,scenario3,twolocalrandom,8,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999
all_marrakesh,scenario1,dj,6,-,-,-,-,-,1057.1213214986021,-,390.8026429972043,1723.44
all_marrakesh,scenario2,dj,6,-,-,-,-,-,-390.8026429972043,-,390.8026429972043,1723.44
all_marrakesh,scenario3,dj,6,-,-,-,-,-,1723.44,-,390.8026429972043,1723.44
all_kyiv,scenario1,wstate,6,-,-,-,-,-,1998.903398794491,-,712.8367975889818,3284.9700000000003
all_kyiv,scenario2,wstate,6,-,-,-,-,-,-712.8367975889818,-,712.8367975889818,3284.9700000000003
all_kyiv,scenario3,wstate,6,-,-,-,-,-,3284.9700000000003,-,712.8367975889818,3284.9700000000003
all_kyiv,scenario1,ghz,10,-,-,-,-,-,1703.3916268617543,-,613.3332537235088,2793.45
all_kyiv,scenario2,ghz,10,-,-,-,-,-,-613.3332537235088,-,613.3332537235088,2793.45
all_kyiv,scenario3,ghz,10,-,-,-,-,-,2793.45,-,613.3332537235088,2793.45
all_sherbrooke,scenario1,twolocalrandom,10,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,twolocalrandom,10,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,twolocalrandom,10,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_kyiv,scenario1,qnn,10,-,-,-,-,-,508.93323276830154,-,190.49646553660313,827.37
all_kyiv,scenario2,qnn,10,-,-,-,-,-,-190.49646553660313,-,190.49646553660313,827.37
all_kyiv,scenario3,qnn,10,-,-,-,-,-,827.37,-,190.49646553660313,827.37
all_fez,scenario1,wstate,8,-,-,-,-,-,4358.955208812197,-,1724.5904176243937,6993.320000000001
all_fez,scenario2,wstate,8,-,-,-,-,-,-1724.5904176243937,-,1724.5904176243937,6993.320000000001
all_fez,scenario3,wstate,8,-,-,-,-,-,6993.320000000001,-,1724.5904176243937,6993.320000000001
fair,scenario1,ghz,6,-,-,-,-,-,634.0842205615165,-,609.7984411230328,658.3700000000001
fair,scenario2,ghz,6,-,-,-,-,-,-609.7984411230328,-,609.7984411230328,658.3700000000001
fair,scenario3,ghz,6,-,-,-,-,-,658.3700000000001,-,609.7984411230328,658.3700000000001
all_torino,scenario1,wstate,6,-,-,-,-,-,1913.2190136182003,-,1088.9380272364006,2737.5
all_torino,scenario2,wstate,6,-,-,-,-,-,-1088.9380272364006,-,1088.9380272364006,2737.5
all_torino,scenario3,wstate,6,-,-,-,-,-,2737.5,-,1088.9380272364006,2737.5
all_fez,scenario1,qpeexact,8,-,-,-,-,-,2597.940368987606,-,1069.7607379752117,4126.12
all_fez,scenario2,qpeexact,8,-,-,-,-,-,-1069.7607379752117,-,1069.7607379752117,4126.12
all_fez,scenario3,qpeexact,8,-,-,-,-,-,4126.12,-,1069.7607379752117,4126.12
all_kyiv,scenario1,qpeexact,6,-,-,-,-,-,1109.382918045184,-,408.35583609036826,1810.4099999999999
all_kyiv,scenario2,qpeexact,6,-,-,-,-,-,-408.35583609036826,-,408.35583609036826,1810.4099999999999
all_kyiv,scenario3,qpeexact,6,-,-,-,-,-,1810.4099999999999,-,408.35583609036826,1810.4099999999999
fair,scenario1,twolocalrandom,10,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,twolocalrandom,10,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,twolocalrandom,10,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_kyiv,scenario1,ghz,8,-,-,-,-,-,1406.96163088687,-,511.99326177373945,2301.9300000000003
all_kyiv,scenario2,ghz,8,-,-,-,-,-,-511.99326177373945,-,511.99326177373945,2301.9300000000003
all_kyiv,scenario3,ghz,8,-,-,-,-,-,2301.9300000000003,-,511.99326177373945,2301.9300000000003
all_torino,scenario1,qnn,10,-,-,-,-,-,490.2564389941539,-,291.01287798830765,689.5000000000001
all_torino,scenario2,qnn,10,-,-,-,-,-,-291.01287798830765,-,291.01287798830765,689.5000000000001
all_torino,scenario3,qnn,10,-,-,-,-,-,689.5000000000001,-,291.01287798830765,689.5000000000001
all_torino,scenario1,twolocalrandom,10,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,twolocalrandom,10,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,twolocalrandom,10,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
all_marrakesh,scenario1,dj,10,-,-,-,-,-,1057.1213214986021,-,390.8026429972043,1723.44
all_marrakesh,scenario2,dj,10,-,-,-,-,-,-390.8026429972043,-,390.8026429972043,1723.44
all_marrakesh,scenario3,dj,10,-,-,-,-,-,1723.44,-,390.8026429972043,1723.44
all_torino,scenario1,qpeexact,8,-,-,-,-,-,1491.5104963721126,-,859.9209927442253,2123.1
all_torino,scenario2,qpeexact,8,-,-,-,-,-,-859.9209927442253,-,859.9209927442253,2123.1
all_torino,scenario3,qpeexact,8,-,-,-,-,-,2123.1,-,859.9209927442253,2123.1
all_sherbrooke,scenario1,realamprandom,10,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,realamprandom,10,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,realamprandom,10,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
fair,scenario1,qaoa,6,-,-,-,-,-,553.645664441301,-,530.8213288826022,576.47
fair,scenario2,qaoa,6,-,-,-,-,-,-530.8213288826022,-,530.8213288826022,576.47
fair,scenario3,qaoa,6,-,-,-,-,-,576.47,-,530.8213288826022,576.47
fair,scenario1,wstate,6,-,-,-,-,-,1107.0886690134012,-,1064.4073380268023,1149.77
fair,scenario2,wstate,6,-,-,-,-,-,-1064.4073380268023,-,1064.4073380268023,1149.77
fair,scenario3,wstate,6,-,-,-,-,-,1149.77,-,1064.4073380268023,1149.77
fair,scenario1,qaoa,10,-,-,-,-,-,553.645664441301,-,530.8213288826022,576.47
fair,scenario2,qaoa,10,-,-,-,-,-,-530.8213288826022,-,530.8213288826022,576.47
fair,scenario3,qaoa,10,-,-,-,-,-,576.47,-,530.8213288826022,576.47
fair,scenario1,qpeexact,6,-,-,-,-,-,634.0842205615165,-,609.7984411230328,658.3700000000001
fair,scenario2,qpeexact,6,-,-,-,-,-,-609.7984411230328,-,609.7984411230328,658.3700000000001
fair,scenario3,qpeexact,6,-,-,-,-,-,658.3700000000001,-,609.7984411230328,658.3700000000001
all_torino,scenario1,qft,10,-,-,-,-,-,343.3757030268577,-,202.05140605371534,484.70000000000005
all_torino,scenario2,qft,10,-,-,-,-,-,-202.05140605371534,-,202.05140605371534,484.70000000000005
all_torino,scenario3,qft,10,-,-,-,-,-,484.70000000000005,-,202.05140605371534,484.70000000000005
all_sherbrooke,scenario1,realamprandom,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
